,precision,recall,f1-score,support
cow_23,0.8181818181818182,1.0,0.9,9.0
cow_14,1.0,1.0,1.0,6.0
cow_4,1.0,1.0,1.0,6.0
cow_9,1.0,0.5714285714285714,0.7272727272727273,7.0
cow_21,0.0,0.0,0.0,0.0
cow_19,0.0,0.0,0.0,0.0
cow_3,0.0,0.0,0.0,0.0
cow_2,0.0,0.0,0.0,0.0
cow_22,0.0,0.0,0.0,0.0
cow_24,0.0,0.0,0.0,0.0
cow_10,0.0,0.0,0.0,0.0
cow_20,0.0,0.0,0.0,0.0
cow_7,0.0,0.0,0.0,0.0
cow_15,0.0,0.0,0.0,0.0
cow_18,0.0,0.0,0.0,0.0
cow_11,0.0,0.0,0.0,0.0
unknown,0.9552238805970149,0.9696969696969697,0.9624060150375939,66.0
accuracy,0.9468085106382979,0.9468085106382979,0.9468085106382979,0.9468085106382979
macro avg,0.28078857051640194,0.2671250318309142,0.2699811024888424,94.0
weighted avg,0.9511533242876525,0.9468085106382979,0.9437202774828753,94.0
